trade_id,scenario_id,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,pnl,pnl_pct,fees,slippage
133,S001_RR1,BTC/USDT,2024-05-03T22:30:00,62984.0,2024-05-03T22:55:00,62772.6360595972,Stop Loss,0.29525991807434043,-118.19725176718326,-0.3355835456668359,74.32419542024982,18.59665067999426
134,S001_RR1,BTC/USDT,2024-05-03T22:35:00,62906.0,2024-05-03T23:30:00,63243.800136137375,Take Profit,0.29519130736280763,44.00775067083191,0.5369919183184042,74.37693318767283,18.569304380964777
135,S001_RR1,BTC/USDT,2024-05-03T22:50:00,62801.35,2024-05-03T23:25:00,63109.28383676853,Take Profit,0.2957638988188945,35.35259575965276,0.49032996387583083,74.38856422050083,18.574372127089976
136,S001_RR1,BTC/USDT,2024-05-03T22:55:00,62782.43,2024-05-03T23:15:00,63074.06599186606,Take Profit,0.2959061883503726,30.56376606884385,0.46451848370007354,74.3971351214352,18.577709556674083
137,S001_RR1,BTC/USDT,2024-05-03T23:00:00,62828.76,2024-05-03T23:25:00,63113.55452628392,Take Profit,0.295725866762253,28.480839608664855,0.45328688053674826,74.40457914252474,18.58008950859757
138,S001_RR1,BTC/USDT,2024-05-03T23:05:00,62909.99,2024-05-03T23:30:00,63196.81858944606,Take Profit,0.29537523077647815,28.975902357735105,0.4559348832292998,74.41293331838466,18.582052814395933
139,S001_RR1,BTC/USDT,2024-05-03T23:10:00,62959.48,2024-05-03T23:30:00,63224.564777519925,Take Profit,0.2951757962405735,22.49426635602079,0.4210402905486541,74.41470516984555,18.584114639892466
140,S001_RR1,BTC/USDT,2024-05-03T23:15:00,63001.01,2024-05-03T23:30:00,63285.2234738506,Take Profit,0.2949933821840891,28.086450850736576,0.4511252658498638,74.42336517756796,18.58488102091362
141,S001_RR1,BTC/USDT,2024-05-03T23:20:00,63008.13,2024-05-03T23:30:00,63302.14834400385,Take Profit,0.2949899412450552,30.972160322682534,0.46663556592435407,74.43379072066585,18.586764566660797
142,S001_RR1,BTC/USDT,2024-05-03T23:25:00,63111.98,2024-05-03T23:40:00,62926.262461118,Stop Loss,0.29454351296411896,-110.46956921931925,-0.2942666968806925,74.30219530096352,18.589224299321216
143,S001_RR1,BTC/USDT,2024-05-03T23:30:00,63154.05,2024-05-03T23:40:00,62948.8887996356,Stop Loss,0.2939387653047868,-115.99510036655123,-0.3248583429952696,74.19338909406352,18.56342348099677
144,S001_RR1,BTC/USDT,2024-05-03T23:35:00,62990.83,2024-05-04T00:25:00,62772.39362635085,Stop Loss,0.2942733702221933,-119.88957936442952,-0.34677487762766496,74.08181534092012,18.53652383719324
145,S001_RR1,BTC/USDT,2024-05-03T23:40:00,62968.57,2024-05-04T01:25:00,63318.8692063821,Take Profit,0.2939379355852368,47.43967114343793,0.5563080222118753,74.13837211577899,18.508851472554475
146,S001_RR1,BTC/USDT,2024-05-03T23:45:00,62833.84,2024-05-04T01:25:00,63192.82264553115,Take Profit,0.294659964172865,50.23396234116008,0.5713205583665679,74.16424598644502,18.514617043243533
147,S001_RR1,BTC/USDT,2024-05-03T23:50:00,62810.66,2024-05-04T00:50:00,63142.67495946034,Take Profit,0.2948693702110505,42.33822272649529,0.5285965144456933,74.1816600689584,18.520939756740418
148,S001_RR1,BTC/USDT,2024-05-03T23:55:00,62882.01,2024-05-04T01:25:00,63197.70629819896,Take Profit,0.29461023324677427,37.430309148159765,0.5020454947272779,74.1957418925515,18.52568363312599
149,S001_RR1,BTC/USDT,2024-05-04T00:00:00,62845.99,2024-05-04T00:50:00,63154.063458439094,Take Profit,0.29483895403281873,35.24371838118506,0.49020384345778584,74.2086158832794,18.529445956756987
150,S001_RR1,BTC/USDT,2024-05-04T00:05:00,62837.37,2024-05-04T00:50:00,63128.57699731388,Take Profit,0.2949323093062393,30.288040269426247,0.4634296395821128,74.21696893152634,18.532770644830606
151,S001_RR1,BTC/USDT,2024-05-04T00:10:00,62917.36,2024-05-04T01:25:00,63210.11939767203,Take Profit,0.29459444136697877,30.639977647669838,0.46530782231172907,74.2266633771525,18.535104521485096
152,S001_RR1,BTC/USDT,2024-05-04T00:15:00,62893.36,2024-05-04T01:25:00,63180.26147798243,Take Profit,0.2947450771759065,28.950273528656265,0.4561713318900888,74.23459578647808,18.53750824705207
153,S001_RR1,BTC/USDT,2024-05-04T00:45:00,63079.41,2024-05-04T01:00:00,62914.57446327104,Stop Loss,0.2939084859472964,-104.06528469296552,-0.26131432860415515,74.10984898716467,18.539573887548748
154,S001_RR1,BTC/USDT,2024-05-04T00:50:00,63072.01,2024-05-04T01:00:00,62908.7745348349,Stop Loss,0.29355434534503133,-103.46366792906959,-0.25880809120417114,74.01233194046745,18.51506260514527
155,S001_RR1,BTC/USDT,2024-05-04T00:55:00,63083.99,2024-05-04T01:00:00,62926.55726352358,Stop Loss,0.2931120311624937,-101.6174584882757,-0.24956052474870033,73.91656034177768,18.49067644273444
156,S001_RR1,BTC/USDT,2024-05-04T01:00:00,62894.0,2024-05-04T01:25:00,63191.71950824372,Take Profit,0.29361567152405726,32.01512120428903,0.47336710694774925,73.95407129267502,18.466664044834058
157,S001_RR1,BTC/USDT,2024-05-04T01:05:00,62856.0,2024-05-04T01:20:00,63134.90024047789,Take Profit,0.2938360101381458,26.542865128862005,0.4437129955420128,73.95937594686175,18.46935625324329
158,S001_RR1,BTC/USDT,2024-05-04T01:10:00,62846.11,2024-05-04T01:20:00,63103.19687508084,Take Profit,0.2939076828276507,20.14694404591548,0.40907364844194294,73.95937806706701,18.470954564831647
159,S001_RR1,BTC/USDT,2024-05-04T01:15:00,62931.97,2024-05-04T01:25:00,63194.17862507006,Take Profit,0.29351178186168847,21.547496811517583,0.4166540870563237,73.96205992382912,18.471274650766325
160,S001_RR1,BTC/USDT,2024-05-04T01:20:00,63106.0,2024-05-04T01:25:00,63408.92414172738,Take Profit,0.2927118578730122,33.25386481080632,0.48002431104392707,73.97616750005685,18.47187450293431
